Term,Definition,,,,,,,
Inflation,a general increase in prices and a fall in the purchasing power of money,,,,,,,
Budget,A plan for managing income and expenses.,,,,,,,
Income,"Money received, especially on a regular basis.",,,,,,,
Expense,Money spent on goods or services.,,,,,,,
Fixed Costs,"Regular, unchanging expenses (e.g., rent).",,,,,,,
Variable Costs,"Expenses that change monthly (e.g., groceries).",,,,,,,
Savings,Money set aside for future use.,,,,,,,
Emergency Fund,Savings for unexpected expenses.,,,,,,,
Discretionary Spending,"Non-essential expenses (e.g., entertainment).",,,,,,,
Essential Expenses,"Basic living costs (e.g., food, housing).",,,,,,,
Net Income,Income after taxes and deductions.,,,,,,,
Gross Income,Total income before deductions.,,,,,,,
Debt,Money owed to others.,,,,,,,
Cash Flow,Movement of money in and out.,,,,,,,
Budget Deficit,When expenses exceed income.,,,,,,,
Budget Surplus,When income exceeds expenses.,,,,,,,
Pay Yourself First,Saving money before spending.,,,,,,,
Envelope Budgeting,Using cash envelopes to control spending.,,,,,,,
Zero-Based Budgeting,Assigning every dollar a job.,,,,,,,
50/30/20 Rule,"Budget rule: 50% needs, 30% wants, 20% savings.",,,,,,,
Sinking Fund,Saving for specific future expenses.,,,,,,,
Recurring Payments,"Regular automatic payments (e.g., subscriptions).",,,,,,,
Irregular Income,Unpredictable or inconsistent earnings.,,,,,,,
Overdraft,Spending more than what's in your account.,,,,,,,
Account Balance,Total amount in your account.,,,,,,,
Financial Goal,Target for managing or growing money.,,,,,,,
Monthly Budget,Budget plan for the month.,,,,,,,
Annual Budget,Yearly financial plan.,,,,,,,
Living Expenses,Day-to-day essential spending.,,,,,,,
Interest Rate,Cost of borrowing money.,,,,,,,
Minimum Payment,Lowest amount due on a debt.,,,,,,,
Credit Limit,Maximum amount you can borrow.,,,,,,,
Balance Sheet,Statement showing income and expenses.,,,,,,,
Expense Tracker,Tool for monitoring spending.,,,,,,,
Income Stream,Source of regular earnings.,,,,,,,
Budget Category,"Grouping for similar expenses (e.g., food, bills).",,,,,,,
Expense Cap,Maximum allowed for a category.,,,,,,,
Late Fee,Penalty for missing a payment.,,,,,,,
Net Worth,Assets minus liabilities.,,,,,,,
Lifestyle Inflation,Increasing spending with rising income.,,,,,,,
Refinance,Replacing a loan with a better one.,,,,,,,
Consolidation,Combining multiple debts into one.,,,,,,,
Frugal Living,Living simply to save money.,,,,,,,
Cost of Living,Average expense to maintain a lifestyle.,,,,,,,
Tracking,Monitoring your income and expenses.,,,,,,,
Budget Planner,Tool or person that helps with budgeting.,,,,,,,
Forecasting,Predicting future financial activity.,,,,,,,
Expense Ratio,Portion of income spent.,,,,,,,
Financial Discipline,Consistent control over money habits.,,,,,,,
Monthly Statement,Summary of account activity.,,,,,,,
Disposable Income,Money left after essentials are paid.,,,,,,,
Automatic Transfer,"Scheduled movement of money (e.g., to savings).",,,,,,,
Investment,The act of allocating money with the expectation of return.,,,,,,,
Stock,A share in the ownership of a company.,,,,,,,
Bond,A fixed-income instrument representing a loan made by an investor.,,,,,,,
Mutual Fund,A pool of money from investors to buy a diversified portfolio of stocks/bonds.,,,,,,,
ETF,Exchange-Traded Fund; trades like a stock but holds multiple assets.,,,,,,,
Portfolio,A collection of financial investments held by an investor.,,,,,,,
Diversification,Spreading investments to reduce risk.,,,,,,,
Risk Tolerance,An investor’s ability to handle investment losses.,,,,,,,
Return,The gain or loss on an investment.,,,,,,,
Capital Gain,Profit earned from the sale of an asset.,,,,,,,
Capital Loss,Loss incurred when selling an asset below purchase price.,,,,,,,
Asset Allocation,Distribution of investments across different asset types.,,,,,,,
Dividend,A portion of a company’s profit paid to shareholders.,,,,,,,
Rebalancing,Adjusting portfolio to maintain desired allocation.,,,,,,,
Compound Growth,Earnings generated on both principal and previous earnings.,,,,,,,
Equity,Ownership in a company or asset.,,,,,,,
Fixed Income,"Investments that pay a set interest (e.g., bonds).",,,,,,,
Real Estate Investment,Investing in properties to earn rental income or profit.,,,,,,,
REIT,Real Estate Investment Trust; allows indirect property investment.,,,,,,,
Index Fund,A mutual fund that tracks a market index.,,,,,,,
Blue-Chip Stock,"Shares of large, stable, financially sound companies.",,,,,,,
Penny Stock,"Low-priced stock of a small company, often risky.",,,,,,,
Hedge Fund,An alternative investment using pooled funds and complex strategies.,,,,,,,
Liquidity,How easily an asset can be converted to cash.,,,,,,,
Market Volatility,Fluctuations in investment prices.,,,,,,,
Bull Market,A market where prices are rising.,,,,,,,
Bear Market,A market where prices are falling.,,,,,,,
IPO,Initial Public Offering; when a company goes public.,,,,,,,
Dollar-Cost Averaging,"Investing a fixed amount regularly, regardless of price.",,,,,,,
Time Horizon,The length of time an investor plans to hold an investment.,,,,,,,
Asset Class,"A group of similar investment types (e.g., stocks, bonds).",,,,,,,
